doc_id,q_id,is_confusing,question,LLM_r,response,confusion
doc0001,6,no,How does Lucy plan to get a push from Earth's gravity?,gpt-3.5,Lucy plans to get a push from Earth's gravity by flying by Earth three times during its mission.,none
doc0001,6,yes,How does Lucy plan to get a push from Neptune's gravity?,gpt-3.5,"Lucy plans to get a push from Earth's gravity, not Neptune's gravity. It will fly by Earth three times to use its gravity for a boost.","Yes

False assumption: The question assumes that Lucy plans to get a push from Neptune's gravity, which is not mentioned in the document. The document states that Lucy will fly by Earth three times to get a push from its gravity."
doc0001,7,no,What is unique about Lucy being the first spacecraft to return to the vicinity of Earth from the outer solar system?,gpt-3.5,The unique aspect of Lucy being the first spacecraft to return to the vicinity of Earth from the outer solar system is that it will fly by Earth three times to get a push from its gravity.,none
doc0001,7,yes,What is unique about Lucy being the last spacecraft to return to the vicinity of Earth from the inner solar system?,gpt-3.5,What is unique about Lucy being the last spacecraft to return to the vicinity of Earth from the inner solar system is that it will fly by Earth three times to get a push from its gravity.,"Yes

False assumption: The question assumes that Lucy is the last spacecraft to return to the vicinity of Earth from the inner solar system, which is not true."
doc0001,8,no,"What are the two ""swarms"" of Trojan asteroids that orbit Jupiter?",gpt-3.5,"The two ""swarms"" of Trojan asteroids that orbit Jupiter are those that lead and follow Jupiter in its orbit around the Sun.",none
doc0001,8,yes,"What are the two ""clusters"" of Trojan asteroids that orbit Saturn?",gpt-3.5,"The two ""clusters"" of Trojan asteroids that orbit Saturn are the ones that lead and follow Jupiter in its orbit around the Sun.","Yes

False assumption: The question assumes that the Trojan asteroids orbit Saturn, when in fact they orbit Jupiter."
doc0001,9,no,How are Trojan asteroids believed to be comparable to the objects in the main asteroid belt?,gpt-3.5,Trojan asteroids are believed to be comparable to the objects in the main asteroid belt in terms of their numbers. Both the Trojan asteroids and the objects in the main asteroid belt are thought to have a similar number of asteroids.,none
doc0001,9,yes,How are Trojan comets believed to be incomparable to the objects in the main asteroid belt?,gpt-3.5,Trojan comets are believed to be comparable in number to the objects in the main asteroid belt between the orbits of Mars and Jupiter.,"Yes

False assumption: The question assumes that Trojan comets are believed to be incomparable to the objects in the main asteroid belt, when in fact the document states that Trojan asteroids are thought to be comparable in number to the objects in the main asteroid belt."
doc0001,10,no,How long is Lucy's planned mission duration?,gpt-3.5,Lucy's planned mission duration is 12 years.,none
doc0001,10,yes,How short is Lucy's planned mission duration?,gpt-3.5,Lucy's planned mission duration is 12 years.,none
doc0002,1,no,When was Arnold Schwarzenegger born?,gpt-3.5,"Arnold Schwarzenegger was born on July 30, 1947.",none
doc0002,1,yes,Where was Arnold Schwarzenegger born?,gpt-3.5,"Arnold Schwarzenegger was born in Thal, Austria.",none
doc0002,2,no,Where was Arnold Schwarzenegger born?,gpt-3.5,"Arnold Schwarzenegger was born in Thal, Austria.",none
doc0002,2,yes,When was Arnold Schwarzenegger married?,gpt-3.5,"Arnold Schwarzenegger was married to Maria Shriver on April 26, 1986.",none
doc0002,3,no,When did Arnold Schwarzenegger immigrate to the United States?,gpt-3.5,Arnold Schwarzenegger immigrated to the United States in 1968.,none
doc0002,3,yes,When did Arnold Schwarzenegger emigrate to the United States?,gpt-3.5,Arnold Schwarzenegger emigrated to the United States in 1968.,none
doc0002,4,no,When did Arnold Schwarzenegger become a U.S. citizen?,gpt-3.5,Arnold Schwarzenegger became a U.S. citizen in 1983.,none
doc0002,4,yes,What degrees did Arnold Schwarzenegger not earn?,gpt-3.5,Arnold Schwarzenegger did not earn a medical degree.,none
doc0002,5,no,What degrees did Arnold Schwarzenegger earn?,gpt-3.5,Arnold Schwarzenegger earned a BA in Business and International Economics at the University of Wisconsin-Superior. He also received honorary Doctorates from the University of Wisconsin-Superior in 1996 and from Chapman University in 2002.,none
doc0002,5,yes,When did Arnold Schwarzenegger not become a U.S. citizen?,gpt-3.5,Arnold Schwarzenegger became a U.S. citizen in 1983.,"Yes

False assumption: Arnold Schwarzenegger did become a U.S. citizen in 1983."
doc0002,6,no,When did Arnold Schwarzenegger become Governor of California?,gpt-3.5,"Arnold Schwarzenegger became Governor of California on November 17, 2003.",none
doc0002,6,yes,When did Arnold Schwarzenegger become President of California?,gpt-3.5,"Arnold Schwarzenegger became Governor of California on November 17, 2003. He was not the President of California, but the Governor.","Yes

False assumption: Arnold Schwarzenegger never became President of California. He was the Governor of California."
doc0002,7,no,What political party does Arnold Schwarzenegger belong to?,gpt-3.5,Arnold Schwarzenegger belongs to the Republican party.,none
doc0002,7,yes,What political party does Arnold Schwarzenegger not belong to?,gpt-3.5,Arnold Schwarzenegger does not belong to the Democratic party. He is a member of the Republican party.,none
doc0002,8,no,Who was the previous Governor of California before Schwarzenegger?,gpt-3.5,The previous Governor of California before Schwarzenegger was Gray Davis.,none
doc0002,8,yes,Who was the next Governor of California after Schwarzenegger?,gpt-3.5,The next Governor of California after Schwarzenegger was Jerry Brown.,none
doc0002,9,no,What were some of Schwarzenegger's focus areas as Governor of California?,gpt-3.5,"Some of Schwarzenegger's focus areas as Governor of California included reducing California's greenhouse gas emissions, increasing the minimum wage, updating the workers' compensation system, promoting physical education and after-school programs, and supporting the After-School Education & Safety Act.",none
doc0002,9,yes,What were some of Schwarzenegger's focus areas as President of California?,gpt-3.5,"Some of Schwarzenegger's focus areas as Governor of California were reducing greenhouse gas emissions, increasing the minimum wage, updating the workers' compensation system, and supporting physical education and after-school programs.","Yes

False assumption: The question assumes that Arnold Schwarzenegger was the President of California, when in fact he was the Governor of California."
doc0002,10,no,Who was the first foreign-born Governor of California before Schwarzenegger?,gpt-3.5,The first foreign-born Governor of California before Schwarzenegger was Irish-born Governor John G. Downey.,none
doc0002,10,yes,Who was the last foreign-born Governor of California before Schwarzenegger?,gpt-3.5,The last foreign-born Governor of California before Schwarzenegger was Irish-born Governor John G. Downey.,none
